Displacement:2	Points:0
7.47E-08	3.272
7.50E-08	3.28
7.53E-08	3.288
7.56E-08	3.296
7.59E-08	3.304
7.62E-08	3.312
7.65E-08	3.32
7.68E-08	3.328
7.72E-08	3.336
7.75E-08	3.344
7.78E-08	3.352
7.81E-08	3.36
7.84E-08	3.368
7.87E-08	3.376
7.90E-08	3.384
7.94E-08	3.392
7.97E-08	3.4
8.00E-08	3.408
8.03E-08	3.416
8.06E-08	3.424
8.09E-08	3.432
8.13E-08	3.44
8.16E-08	3.448
8.19E-08	3.456
8.22E-08	3.464
8.25E-08	3.472
8.28E-08	3.48
8.32E-08	3.488
8.35E-08	3.496
8.38E-08	3.504
8.41E-08	3.512
8.45E-08	3.52
8.48E-08	3.528
8.51E-08	3.536
8.54E-08	3.544
8.57E-08	3.552
8.61E-08	3.56
8.64E-08	3.568
8.67E-08	3.576
8.70E-08	3.584
8.74E-08	3.592
8.77E-08	3.6
8.80E-08	3.608
8.83E-08	3.616
8.87E-08	3.624
8.90E-08	3.632
8.93E-08	3.64
8.96E-08	3.648
9.00E-08	3.656
9.03E-08	3.664
9.06E-08	3.672
9.10E-08	3.68
9.13E-08	3.688
9.16E-08	3.696
9.20E-08	3.704
9.23E-08	3.712
9.26E-08	3.72
9.29E-08	3.728
9.33E-08	3.736
9.36E-08	3.744
9.39E-08	3.752
9.43E-08	3.76
9.46E-08	3.768
9.49E-08	3.776
9.53E-08	3.784
9.56E-08	3.792
9.59E-08	3.8
9.63E-08	3.808
9.66E-08	3.816
9.69E-08	3.824
9.73E-08	3.832
9.76E-08	3.84
9.79E-08	3.848
9.83E-08	3.856
9.86E-08	3.864
9.89E-08	3.872
9.93E-08	3.88
9.96E-08	3.888
1.00E-07	3.896
1.00E-07	3.904
1.01E-07	3.912
1.01E-07	3.92
1.01E-07	3.928
1.02E-07	3.936
1.02E-07	3.944
1.02E-07	3.952
1.03E-07	3.96
1.03E-07	3.968
1.03E-07	3.976
1.04E-07	3.984
1.04E-07	3.992
1.04E-07	4
1.05E-07	4.008
1.05E-07	4.016
1.05E-07	4.024
1.06E-07	4.032
1.06E-07	4.04
1.06E-07	4.048
1.07E-07	4.056
1.07E-07	4.064
1.07E-07	4.072
1.08E-07	4.08
1.08E-07	4.088
1.08E-07	4.096
1.09E-07	4.104
1.09E-07	4.112
1.10E-07	4.12
1.10E-07	4.128
1.10E-07	4.136
1.11E-07	4.144
1.11E-07	4.152
1.11E-07	4.16
1.12E-07	4.168
1.12E-07	4.176
1.12E-07	4.184
1.13E-07	4.192
1.13E-07	4.2
1.13E-07	4.208
1.14E-07	4.216
1.14E-07	4.224
1.14E-07	4.232
1.15E-07	4.24
1.15E-07	4.248
1.15E-07	4.256
1.16E-07	4.264
1.16E-07	4.272
1.16E-07	4.28
1.17E-07	4.288
1.17E-07	4.296
1.18E-07	4.304
1.18E-07	4.312
1.18E-07	4.32
1.19E-07	4.328
1.19E-07	4.336
1.19E-07	4.344
1.20E-07	4.352
